Steroids,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+
0,Vladimir Guerrero HOF,1,317,0.717,209,59,16,59.4,41.2,50.3,2147,8155,1328,2590,449,1496,181,737,0.318,0.379,0.553,0.931,140
0,Edgar Martinez HOF,8,259,0.586,132,50,18,68.4,43.7,56,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147
1,Barry Bonds,5,238,0.538,340,77,22,162.8,72.7,117.8,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182
1,Manny Ramirez,1,105,0.238,226,69,19,69.4,40,54.7,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154
0,Larry Walker,7,97,0.219,148,58,17,72.7,44.7,58.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141
0,Fred McGriff,8,96,0.217,100,48,19,52.6,36,44.3,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134
0,Jeff Ken,4,74,0.167,123,51,17,55.4,35.7,45.6,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123
1,Gary Sheffield,3,59,0.133,158,61,22,60.5,38,49.3,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140
1,Sammy Sos,5,38,0.086,202,52,18,58.6,43.8,51.2,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128
0,X-Jorge Posada,1,17,0.038,98,40,17,42.8,32.7,37.7,1829,6092,900,1664,275,1065,20,936,0.273,0.374,0.474,0.848,121
0,X-Magglio Ordonez,1,3,0.007,114,42,15,38.7,32,35.4,1848,6978,1076,2156,294,1236,94,651,0.309,0.369,0.502,0.871,125
0,X-Jason Varitek,1,2,0.005,54,31,15,24.2,18.8,21.5,1546,5099,664,1307,193,757,25,614,0.256,0.341,0.435,0.776,99
0,X-Edgar Renteria,1,2,0.005,109,38,16,32.3,25.6,29,2152,8142,1200,2327,140,923,294,718,0.286,0.343,0.398,0.741,94
0,X-J.D. Dre,1,0,0,20,26,14,44.9,32.1,38.5,1566,5173,944,1437,242,795,87,862,0.278,0.384,0.489,0.873,125
0,X-Carlos Guillen,1,0,0,30,25,14,27.7,24.2,26,1305,4673,733,1331,124,660,74,510,0.285,0.355,0.443,0.798,111
0,X-Pat Burrell,1,0,0,20,24,12,18.9,16.5,17.7,1640,5503,767,1393,292,976,7,932,0.253,0.361,0.472,0.834,116
0,X-Mike Cameron,1,0,0,13,24,17,46.7,32.6,39.7,1955,6839,1064,1700,278,968,297,867,0.249,0.338,0.444,0.782,106
0,X-Matt Stairs,1,0,0,9,20,19,14.2,12.9,13.5,1895,5204,770,1366,265,899,30,717,0.262,0.356,0.477,0.832,117
0,X-Casey Blake,1,0,0,6,15,13,24.9,22.2,23.6,1265,4500,644,1186,167,616,36,445,0.264,0.336,0.442,0.778,107
0,X-Orlando Cabrera,1,0,0,46,25,15,21.4,20,20.7,1985,7562,985,2055,123,854,216,514,0.272,0.317,0.39,0.707,84
0,X-Derrek L,1,0,0,58,30,15,34.6,27.3,30.9,1942,6962,1081,1959,331,1078,104,874,0.281,0.365,0.495,0.859,122
0,X-Freddy Sanchez,1,0,0,34,11,10,15.9,16.1,16,904,3402,434,1012,48,371,13,180,0.297,0.335,0.413,0.748,98
0,X-Melvin Mor,1,0,0,19,19,13,28.3,26,27.2,1556,5422,794,1503,171,754,93,520,0.277,0.35,0.431,0.781,105
0,Craig Biggio,3,454,0.827,169,57,20,65.5,41.8,53.7,2850,10876,1844,3060,291,1175,414,1160,0.281,0.363,0.433,0.796,112
1,Mike Piazza HOF,3,384,0.699,207,62,16,59.6,43.1,51.4,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,142
0,Jeff Bagwell HOF,5,306,0.557,150,59,15,79.9,48.3,64.1,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149
0,Tim Raines HOF,8,302,0.55,91,47,23,69.4,42.4,55.9,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123
1,Barry Bonds,3,202,0.368,340,77,22,162.8,72.7,117.8,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182
0,Edgar Martinez HOF,6,148,0.27,132,50,18,68.4,43.7,56,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147
0,Alan Trammell HOF,14,138,0.251,119,40,20,70.7,44.8,57.8,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110
0,Jeff Ken,2,77,0.14,123,51,17,55.4,35.7,45.6,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123
0,Fred McGriff,6,71,0.129,100,48,19,52.6,36,44.3,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134
0,Larry Walker,5,65,0.118,148,58,17,72.7,44.7,58.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141
1,Gary Sheffield,1,64,0.117,158,61,22,60.5,38,49.3,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140
1,Mark McGwire,9,55,0.1,170,42,16,62.2,41.9,52,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163
0,X-Don Mattingly,15,50,0.091,134,34,14,42.4,35.7,39.1,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127
1,Sammy Sos,3,36,0.066,202,52,18,58.6,43.8,51.2,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128
0,Nomar Garciaparra,1,30,0.055,113,41,14,44.2,43.1,43.7,1434,5586,927,1747,229,936,95,403,0.313,0.361,0.521,0.882,124
0,X-Carlos Delgado,1,21,0.038,110,44,17,44.4,34.5,39.5,2035,7283,1241,2038,473,1512,14,1109,0.28,0.383,0.546,0.929,138
0,X-Aaron Boone,1,2,0.004,4,15,12,13.5,15.2,14.4,1152,3871,519,1017,126,555,107,303,0.263,0.326,0.425,0.751,94
0,X-Darin Erstad,1,1,0.002,35,14,14,32.4,28.9,30.6,1654,6024,913,1697,124,699,179,475,0.282,0.336,0.407,0.743,93
0,X-Brian Giles,1,0,0,53,41,15,51.1,37.4,44.2,1847,6527,1121,1897,287,1078,109,1183,0.291,0.4,0.502,0.902,136
0,X-Cliff Floyd,1,0,0,23,22,17,26,25.1,25.5,1621,5319,824,1479,233,865,148,601,0.278,0.358,0.482,0.84,119
0,X-Jermaine D,1,0,0,49,25,14,20.3,23.3,21.8,1763,6487,984,1779,325,1072,46,597,0.274,0.338,0.488,0.826,111
0,X-Tony Clark,1,0,0,24,16,15,12.4,15.9,14.1,1559,4532,629,1188,251,824,6,527,0.262,0.339,0.485,0.824,112
0,X-Rich Aurilia,1,0,0,31,20,15,18.2,16.8,17.5,1652,5721,745,1576,186,756,23,450,0.275,0.328,0.433,0.762,99
0,Craig Biggio HOF,1,388,0.682,169,57,20,65.5,41.8,53.7,2850,10876,1844,3060,291,1175,414,1160,0.281,0.363,0.433,0.796,112
0,Jeff Bagwell HOF,3,339,0.596,150,59,15,79.9,48.3,64.1,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149
1,Mike Piazza HOF,1,329,0.578,207,62,16,59.6,43.1,51.4,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,142
0,Tim Raines HOF,6,297,0.522,91,47,23,69.4,42.4,55.9,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123
1,Barry Bonds,1,206,0.362,340,77,22,162.8,72.7,117.8,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182
0,Edgar Martinez HOF,4,204,0.359,132,50,18,68.4,43.7,56,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147
0,Alan Trammell HOF,12,191,0.336,119,40,20,70.7,44.8,57.8,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110
0,Larry Walker,3,123,0.216,148,58,17,72.7,44.7,58.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141
0,Fred McGriff,4,118,0.207,100,48,19,52.6,36,44.3,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134
0,X-Dale Murphy,15,106,0.186,116,34,18,46.5,41.2,43.9,2180,7960,1197,2111,398,1266,161,986,0.265,0.346,0.469,0.815,121
1,Mark McGwire,7,96,0.169,170,42,16,62.2,41.9,52,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163
0,Don Mattingly,13,75,0.132,134,34,14,42.4,35.7,39.1,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127
1,Sammy Sos,1,71,0.125,202,52,18,58.6,43.8,51.2,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128
0,Rafael Palmeiro,3,50,0.088,178,57,20,71.9,38.9,55.4,2831,10472,1663,3020,569,1835,97,1353,0.288,0.371,0.515,0.885,132
0,X-Bernie Williams,2,19,0.033,134,48,16,49.6,37.6,43.6,2076,7869,1366,2336,287,1257,147,1069,0.297,0.381,0.477,0.858,125
0,X-Kenny Lofton,1,18,0.032,91,43,17,68.3,43.4,55.9,2103,8120,1528,2428,130,781,622,945,0.299,0.372,0.423,0.794,107
0,X-Sandy Alomar,1,16,0.028,49,24,20,13.7,13.1,13.4,1377,4530,520,1236,112,588,25,212,0.273,0.309,0.406,0.716,86
0,X-Julio Franco,1,6,0.011,58,42,23,43.5,30.8,37.2,2527,8677,1285,2586,173,1194,281,917,0.298,0.365,0.417,0.782,111
0,X-Steve Finley,1,4,0.007,72,36,19,44.3,32.1,38.2,2583,9397,1443,2548,304,1167,320,844,0.271,0.332,0.442,0.775,104
0,X-Shawn Green,1,2,0.004,62,33,15,34.7,31.5,33.1,1951,7082,1129,2003,328,1070,162,744,0.283,0.355,0.494,0.85,120
0,X-Todd Walker,1,0,0,10,22,12,10.5,9.8,10.2,1288,4554,647,1316,107,545,66,421,0.289,0.348,0.435,0.783,98
0,X-Royce Clayton,1,0,0,24,23,17,19.6,17.4,18.5,2108,7379,935,1904,110,723,231,565,0.258,0.312,0.367,0.679,78
0,X-Jeff Conine,1,0,0,22,23,17,19.5,17.8,18.7,2024,6957,870,1982,214,1071,54,671,0.285,0.347,0.443,0.789,107
0,X-Ryan Klesko,1,0,0,24,26,16,27,21.8,24.4,1736,5611,874,1564,278,987,91,817,0.279,0.37,0.5,0.87,128
0,X-Rondell White,1,0,0,6,17,15,28.3,22.5,25.4,1474,5357,756,1519,198,768,94,360,0.284,0.336,0.462,0.799,108
0,X-Reggie Sanders,1,0,0,18,27,17,39.8,26.7,33.2,1777,6241,1037,1666,305,983,304,674,0.267,0.343,0.487,0.83,115
0,X-Jeff Cirillo,1,0,0,37,23,14,34.5,30.5,32.5,1617,5396,800,1598,112,727,63,563,0.296,0.366,0.43,0.796,102
0,Roberto Alomar,2,523,0.9,194,57,17,67.1,42.9,55,2379,9073,1508,2724,210,1134,474,1032,0.3,0.371,0.443,0.814,116
0,Barry Larkin HOF,2,361,0.621,121,47,19,70.4,43.3,56.9,2180,7937,1329,2340,198,960,379,939,0.295,0.371,0.444,0.815,116
0,Jeff Bagwell HOF,1,242,0.417,150,59,15,79.9,48.3,64.1,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149
0,Tim Raines HOF,4,218,0.375,91,47,23,69.4,42.4,55.9,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123
0,Edgar Martinez HOF,2,191,0.329,132,50,18,68.4,43.7,56,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147
0,Alan Trammell HOF,10,141,0.243,119,40,20,70.7,44.8,57.8,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110
0,Larry Walker,1,118,0.203,148,58,17,72.7,44.7,58.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141
1,Mark McGwire,5,115,0.198,170,42,16,62.2,41.9,52,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163
