Rk,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,Pos Summary
33,Carl Erskine,1st,6,2.0%,48,18,12,13.9,15.1,14.5,61.4,360,588,51,92,1,31,0,12,0.156,0.175,0.18,0.355,-7.0,122.0,78.0,4.0,101.0,1.328,335.0,216.0,13.0,1718.2,1637.0,199.0,646.0,981.0,*1/H
34,Gil McDougald,1st,5,1.7%,54,21,10,40.7,32.2,36.5,57.0,1336,4676,697,1291,112,576,45,559,0.276,0.356,0.41,0.766,111.0,,,,,,,,,,,,,,*4*56H
35,Jim Hegan,1st,5,1.7%,71,21,17,4.6,6.2,5.4,44.2,1666,4772,550,1087,92,525,15,456,0.228,0.295,0.344,0.639,74.0,,,,,,,,,,,,,,*2H
36,Whitey Lockman,1st,4,1.3%,10,13,15,19.4,20.7,20.1,53.4,1666,5940,836,1658,114,563,43,552,0.279,0.342,0.391,0.732,95.0,,,,,,,,,,,,,,*3*7H8/495
37,Grady Hatton,1st,4,1.3%,4,16,12,18.6,17.0,17.8,55.8,1312,4206,562,1068,91,533,42,646,0.254,0.354,0.374,0.728,96.0,,,,,,,,,,,,,,*5H4/376
38,Hank Sauer,1st,4,1.3%,45,23,15,25.2,22.2,23.7,53.4,1399,4796,709,1278,288,876,11,561,0.266,0.347,0.496,0.843,123.0,,,,,,,,,,,,,,*79H3
39,Del Ennis,1st,3,1.0%,53,29,14,29.9,28.2,29.1,53.4,1903,7254,985,2063,288,1284,45,597,0.284,0.34,0.472,0.812,117.0,,,,,,,,,,,,,,*7*9H/38
40,Morrie Martin,1st,2,0.7%,2,5,10,3.8,5.4,4.6,32.5,250,165,15,28,0,7,0,4,0.17,0.189,0.182,0.371,0.0,38.0,34.0,4.29,96.0,1.416,250.0,42.0,15.0,604.2,607.0,56.0,249.0,245.0,1
41,Del Rice,1st,2,0.7%,18,22,17,4.7,6.1,5.4,44.2,1309,3826,342,908,79,441,2,382,0.237,0.312,0.356,0.668,78.0,,,,,,,,,,,,,,*2H
42,Andy Pafko,1st,2,0.7%,37,22,17,36.8,29.7,33.3,58.1,1852,6292,844,1796,213,976,38,561,0.285,0.35,0.449,0.799,117.0,,,,,,,,,,,,,,*8*9*75H
43,Marv Grissom,1st,2,0.7%,6,6,10,12.8,13.8,13.3,32.5,356,189,9,23,0,6,0,8,0.122,0.162,0.159,0.32,-14.0,47.0,45.0,3.41,116.0,1.375,356.0,52.0,57.0,810.0,771.0,65.0,343.0,459.0,*1
44,Carl Furillo,1st,2,0.7%,41,27,15,34.6,25.5,30.0,56.7,1806,6378,895,1910,192,1058,48,514,0.299,0.355,0.458,0.813,112.0,,,,,,,,,,,,,,*9*8H7
45,Bob Porterfield,1st,1,0.3%,13,6,12,17.8,18.6,18.2,61.4,322,516,34,95,6,43,1,20,0.184,0.218,0.252,0.47,28.0,87.0,97.0,3.79,103.0,1.354,318.0,193.0,8.0,1567.2,1571.0,113.0,552.0,572.0,*1/H
46,Chico Carrasquel,1st,1,0.3%,15,17,10,21.2,22.4,21.8,55.4,1325,4644,568,1199,55,474,31,491,0.258,0.333,0.342,0.674,82.0,,,,,,,,,,,,,,*65H/43
47,Solly Hemus,1st,1,0.3%,12,11,11,25.9,25.8,25.8,55.4,961,2694,459,736,51,263,21,456,0.273,0.39,0.411,0.801,115.0,,,,,,,,,,,,,,*6H45
48,Jim Hearn,1st,1,0.3%,14,9,13,15.7,15.3,15.5,61.4,403,548,44,77,9,36,1,33,0.141,0.19,0.21,0.4,6.0,109.0,89.0,3.81,105.0,1.359,396.0,229.0,8.0,1703.2,1661.0,158.0,655.0,669.0,*1/H
